PRECINCT,LATE,MISC,NO OATH,NOSIG,POA,PRINTED SIG,SM,SP,WS,Total
1101,1,0,0,0,0,0,2,0,0,3
1102,1,0,0,0,0,0,1,0,0,2
1103,3,0,0,1,0,0,0,0,0,4
1104,1,0,0,0,0,0,1,0,0,2
1106,1,0,0,0,0,0,0,0,0,1
1107,3,0,0,1,0,0,0,0,0,4
1108,0,0,0,0,0,0,1,0,0,1
1109,5,0,0,0,0,0,1,0,0,6
1111,3,0,0,0,0,0,0,0,0,3
1112,5,0,0,0,0,0,0,0,0,5
1113,1,0,0,1,0,0,1,0,0,3
1114,1,0,0,1,0,0,0,1,0,3
1115,3,0,0,1,0,0,0,1,0,5
1116,0,0,0,0,0,0,1,0,0,1
1117,1,0,0,1,0,0,1,0,0,3
1118,1,0,0,0,0,0,0,1,0,2
1119,3,0,0,1,0,0,0,0,0,4
1121,1,0,0,0,0,0,0,0,1,2
1122,1,0,0,0,0,0,1,0,2,4
1123,1,0,0,1,0,0,1,0,0,3
1124,5,0,0,0,0,0,1,0,0,6
1125,6,1,0,1,0,0,0,0,1,9
1127,7,0,0,1,0,0,0,0,0,8
1129,4,0,0,1,0,1,1,0,0,7
1131,1,0,0,1,0,1,2,0,0,5
1132,1,0,0,0,0,0,0,0,0,1
1133,1,0,0,0,0,0,0,0,0,1
1134,0,0,0,0,0,1,0,0,0,1
1135,1,0,0,0,0,0,0,1,0,2
1136,6,0,0,0,0,1,2,0,0,9
1141,4,0,0,0,0,0,1,0,0,5
1142,4,0,0,0,0,0,1,0,0,5
1143,0,0,0,1,0,0,0,0,0,1
1144,1,0,0,0,0,0,1,1,0,3
1145,5,0,0,1,0,0,0,0,0,6
1146,1,0,0,0,0,0,1,4,0,6
1147,5,0,0,0,0,1,1,0,0,7
1148,2,0,0,1,0,0,1,0,0,4
1149,4,0,0,0,0,0,0,0,0,4
1152,1,0,0,1,0,0,0,0,0,2
1153,6,0,0,0,0,0,1,0,0,7
7001,1,0,0,0,0,0,0,1,0,2
7002,1,0,0,0,0,0,1,0,0,2
7003,1,0,0,1,0,0,1,1,0,4
7004,2,0,0,0,0,0,0,0,0,2
7005,1,0,0,0,0,0,0,0,0,1
7006,1,0,0,0,0,0,0,0,0,1
7007,5,0,0,1,0,0,2,0,0,8
7008,5,0,0,0,0,0,0,0,0,5
7009,8,0,0,0,0,0,1,0,0,9
7011,2,1,0,0,0,0,0,1,0,4
7012,4,0,0,0,0,0,0,0,0,4
7014,6,0,0,0,0,0,0,0,0,6
7016,2,0,0,3,0,0,0,0,0,5
