szPrecinctName,Accepted,Wrong Precinct,Wrong Ballot Type,Accepted No Ballot,Total Counted,,CH-PO/MA,Printed Signature,Can Not Identify,Challenged No ballot,CH-VBM Ballot Returned,Not Registered,No Signature,Not Eligible,Signature Miscompares,No address provided,Voted a precinct ballot,Cancellation,NO-COVR Signature,Total Not Counted,,Total
Pct 1122   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 1151   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 1154   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7015   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7018   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7034   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7036   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7037   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7041   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7046   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7101   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7323   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7545   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7553   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7635   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7648   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7703   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7933   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7954   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7958   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9001   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9136   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9214   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9217   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9227   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9257   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9501   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9502   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9515   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9706   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
