contest_id,contest_name,contest_order,vote_for,page,precinct_id,name,registered_voters,turnout,,LUIS J. RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G. ''JERRY'' BROWN,JANEL HYESHIA BUYCKS,ANDREW BLOUNT,RAKESH KUMAR CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,'BO'' BOGDAN AMBROZEWICZ,AKINYEMI AGBEDE,RICHARD WILLIAM AGUIRRE,ROBERT NEWMAN,CINDY L. SHEEHAN,JOE LEICHT,WRITE-IN,WRITE-IN - KAREN JILL BERNAL,WRITE-IN - JIMELLE L. WALLS,WRITE-IN - NICKOLAS WILDSTAR,Under Vote,Over Vote,,,precinct_order,tally_category_order,sort_order,tally_cat_name
1,NON-PARTISAN  GOVERNOR,100001,1,1,1,Pct 1101 - Election Day Reporting,484,35,,0,0,31,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,Election Day Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,1,Pct 1101 - VBM Reporting,484,106,,3,0,83,0,3,0,2,1,7,0,0,1,2,1,0,1,0,0,0,2,0,,,1,2,1,VBM Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,2,Pct 1102 - Election Day Reporting,873,94,,10,1,70,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,0,3,1,,,2,1,1,Election Day Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,2,Pct 1102 - VBM Reporting,873,192,,3,0,151,0,7,0,2,3,18,0,0,0,1,1,0,0,0,0,0,5,1,,,2,2,1,VBM Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,3,Pct 1103 - Election Day Reporting,827,76,,6,0,60,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,4,0,,,3,1,1,Election Day Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,3,Pct 1103 - VBM Reporting,827,215,,5,2,168,1,3,0,2,2,17,0,2,1,2,3,0,1,0,0,0,4,2,,,3,2,1,VBM Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,4,Pct 1104/1105 - Election Day Reporting,817,65,,2,0,47,0,2,1,0,3,3,0,1,2,0,2,0,0,0,0,0,1,1,,,4,1,1,Election Day Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,4,Pct 1104/1105 - VBM Reporting,817,155,,5,0,117,2,7,0,2,5,5,0,0,1,2,3,2,1,0,0,0,2,1,,,4,2,1,VBM Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,5,Pct 1106 - Election Day Reporting,681,43,,3,0,33,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,,,5,1,1,Election Day Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,5,Pct 1106 - VBM Reporting,681,144,,3,0,100,1,1,0,0,10,12,0,0,0,3,8,0,0,0,0,0,6,0,,,5,2,1,VBM Reporting
1,NON-PARTISAN  GOVERNOR,100001,1,1,6,Pct 1107 - Election Day Reporting,661,45,,1,0,40,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,,,6,1,1,Election Day Reporting
